"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.808331667E-1,1.734313965E-1,2.563897705E1,-4.196005249E1,4.917350128E1
9.908581667E-1,1.081085205E-1,2.569186401E1,-4.238861084E1,4.956690320E1
1.000884167E0,1.744689941E-1,2.556076050E1,-4.197616577E1,4.914652998E1
1.010910167E0,-1.118545532E-1,2.567889404E1,-4.262194824E1,4.975990939E1
1.020935167E0,4.640960693E-2,2.566268921E1,-4.215744019E1,4.935408326E1
1.030961167E0,8.070373535E-2,2.579531860E1,-4.208288574E1,4.935964189E1
1.040987167E0,-6.855010986E-2,2.577529907E1,-4.235946655E1,4.958523115E1
1.051012167E0,7.706451416E-2,2.576962280E1,-4.217205811E1,4.942228124E1
1.061038167E0,-9.045410156E-2,2.535116577E1,-4.273950195E1,4.969260322E1
1.071064167E0,1.571502686E-1,2.547094727E1,-4.235122681E1,4.942084846E1
1.081089167E0,7.749938965E-2,2.555285645E1,-4.230886841E1,4.942666107E1
1.091115167E0,1.020278931E-1,2.584399414E1,-4.240750122E1,4.966204388E1
1.101141167E0,1.217727661E-1,2.586206055E1,-4.260925293E1,4.984385057E1
1.111166167E0,-1.365814209E-1,2.582727051E1,-4.285827637E1,5.003896891E1
1.121192167E0,-9.864807129E-3,2.574121094E1,-4.245507812E1,4.964920640E1
1.131218167E0,9.218597412E-2,2.543695068E1,-4.231442261E1,4.937162463E1
1.141243167E0,2.407379150E-1,2.567425537E1,-4.232687378E1,4.950545008E1
1.151269167E0,1.457672119E-1,2.559963989E1,-4.227215576E1,4.941961112E1
1.161295167E0,-1.513366699E-1,2.572979736E1,-4.276074219E1,4.990517456E1
1.171320167E0,9.524536133E-2,2.595144653E1,-4.230007935E1,4.962643813E1
1.181346167E0,9.951019287E-2,2.581393433E1,-4.236126709E1,4.960691542E1
1.191372167E0,-4.203033447E-2,2.563668823E1,-4.248413086E1,4.961998514E1
1.201397167E0,3.463745117E-3,2.597665405E1,-4.248635864E1,4.979836582E1
1.211423167E0,-1.674880981E-1,2.555209351E1,-4.289230347E1,4.992681876E1
1.221449167E0,-9.986877441E-2,2.581518555E1,-4.258889771E1,4.980208817E1
1.231474167E0,-1.356506348E-1,2.571087646E1,-4.254190063E1,4.970795590E1
1.241500167E0,-3.940582275E-2,2.556076050E1,-4.249923706E1,4.959374135E1
1.251526167E0,4.659271240E-2,2.595178223E1,-4.231011963E1,4.963510244E1
1.261551167E0,-2.613296509E-1,2.588568115E1,-4.274487305E1,4.997260203E1
