"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.915353750E0,-1.197761536E0,2.890878296E1,-5.110391235E1,5.872616302E1
1.925380750E0,-7.452239990E-1,2.901812744E1,-5.062387085E1,5.835566278E1
1.935406750E0,-7.196884155E-1,2.892846680E1,-5.050881958E1,5.821095256E1
1.945433750E0,-8.499145508E-1,2.914547729E1,-5.112106323E1,5.885188449E1
1.955460750E0,-6.961746216E-1,2.900399780E1,-5.050039673E1,5.824093592E1
1.965486750E0,-1.072059631E0,2.885116577E1,-5.151513672E1,5.905377540E1
1.975513750E0,-9.108505249E-1,2.867700195E1,-5.091134644E1,5.843941551E1
1.985539750E0,-9.937515259E-1,2.884841919E1,-5.095126343E1,5.855979915E1
1.995566750E0,-5.680236816E-1,2.886395264E1,-5.054086304E1,5.820506206E1
2.005593750E0,-3.540267944E-1,2.870068359E1,-5.018527222E1,5.781363266E1
2.015619750E0,-4.722213745E-1,2.859930420E1,-5.064871216E1,5.816730385E1
2.025646750E0,-3.026351929E-1,2.890869141E1,-5.020874023E1,5.793722139E1
2.035672750E0,-3.554992676E-1,2.905072021E1,-5.008206177E1,5.789890876E1
2.045699750E0,-5.475311279E-1,2.883636475E1,-5.059320068E1,5.823665235E1
2.055726750E0,-3.068466187E-1,2.892547607E1,-5.007299805E1,5.782804211E1
2.065752750E0,-5.105895996E-1,2.846612549E1,-5.005914307E1,5.758905110E1
2.075779750E0,-1.398849487E-1,2.839236450E1,-4.975888062E1,5.728954643E1
2.085805750E0,8.399963379E-3,2.869174194E1,-4.971307373E1,5.739865701E1
2.095832750E0,-7.101974487E-1,2.862698364E1,-5.099945068E1,5.848890957E1
2.105859750E0,-1.295013428E-1,2.838122559E1,-5.011611938E1,5.759458446E1
2.115885750E0,-2.128372192E-1,2.836441040E1,-5.024404907E1,5.769791629E1
2.125912750E0,-1.057586670E-1,2.867889404E1,-4.975665283E1,5.743008488E1
2.135939750E0,-1.462020874E-1,2.865814209E1,-5.003308105E1,5.765951511E1
2.145965750E0,-8.529510498E-1,2.873849487E1,-5.055563354E1,5.815927008E1
2.155992750E0,-3.099975586E-1,2.862185669E1,-5.016735840E1,5.775872772E1
2.166018750E0,-3.160324097E-1,2.862695312E1,-5.042248535E1,5.798300916E1
2.176045750E0,-2.472152710E-1,2.888128662E1,-4.992990112E1,5.768175499E1
2.186072750E0,-1.100845337E-1,2.830517578E1,-5.025634766E1,5.767924735E1
2.196098750E0,-5.831375122E-1,2.826181030E1,-5.110015869E1,5.839774130E1
2.206125750E0,-4.280395508E-1,2.849819946E1,-5.060696411E1,5.808093841E1
2.216151750E0,-3.583297729E-1,2.858767700E1,-5.067105103E1,5.818022936E1
2.226178750E0,-2.254104614E-1,2.873361206E1,-5.059552002E1,5.818571919E1
2.236205750E0,-1.729736328E-1,2.903552246E1,-5.035873413E1,5.812997151E1
2.246231750E0,-7.069625854E-1,2.888458252E1,-5.084786987E1,5.848354276E1
2.256258750E0,-2.259979248E-1,2.855923462E1,-5.051528931E1,5.802995270E1
2.266285750E0,-3.857650757E-1,2.872470093E1,-5.046307373E1,5.806702221E1
2.276311750E0,-1.553039551E-1,2.858367920E1,-5.021627808E1,5.778170489E1
2.286338750E0,-9.970855713E-2,2.839514160E1,-5.035186768E1,5.780661369E1
2.296364750E0,-3.188171387E-1,2.829974365E1,-5.061026001E1,5.798599446E1
2.306391750E0,-5.312347412E-2,2.821133423E1,-5.051556396E1,5.785935018E1
2.316418750E0,-6.806945801E-2,2.813113403E1,-5.069885254E1,5.798050521E1
2.326444750E0,1.613540649E-1,2.803762817E1,-5.019241333E1,5.749272114E1
